ID,renta_real,pred_lineal_pesos,pred_rf_pesos,pred_xgb_pesos,pred_lineal_log,pred_rf_log,pred_xgb_log,renta_real_log
Hogar_796,4000.0000000000014,2899.8164128023627,3849.5081322722485,3484.7444,7.972747498010767,8.255960400981294,8.156437,8.294299608857235
Hogar_797,2500.0000000000005,2128.2826931972695,2167.8846152225638,2188.5244,7.663540438228672,7.6819683121885065,7.6914396,7.824445930877619
Hogar_798,2000.0,3245.004095953207,3140.6313891381983,2850.399,8.085180009920077,8.052497494663529,7.955565,7.601402334583733
Hogar_799,4000.0000000000014,2388.1042184966664,2435.500283280774,2124.4512,7.7786737706927,7.798317978549006,7.6617393,8.294299608857235
Hogar_800,10000.00000000001,7613.09335285046,7317.994652140821,7659.046,8.937756197551607,8.898228254919285,8.943773,9.210440366976517
Hogar_801,2999.9999999999995,2916.282025841619,3573.363995873876,2964.6094,7.978407648718894,8.181542536049385,7.9948378,8.006700845440367
Hogar_802,1399.9999999999995,2402.5886202777474,1876.8775054716477,1760.7013,7.784718157999301,7.537897431587461,7.4740353,7.244941546337007
Hogar_803,800.0000000000003,1470.8404441134614,1860.825227545393,1851.8978,7.294268899469114,7.529312590674052,7.524506,6.68586094706836
Hogar_804,2000.0,2068.5028810885656,2317.0657981808945,1962.6749,7.635063703354315,7.748488409252176,7.582573,7.601402334583733
Hogar_805,2999.9999999999995,3112.843913044655,2558.0277415055425,2600.341,8.043613226874564,7.847382676861303,7.8637824,8.006700845440367
Hogar_806,9000.0,8297.986186223425,6341.201478109124,4868.6904,9.023888640086088,8.754981223453516,8.490786,9.105090961257085
Hogar_807,2000.0,1561.2323840200736,1745.7321266120607,1570.6074,7.353871092714298,7.465501965012704,7.359854,7.601402334583733
Hogar_808,2999.9999999999995,2946.5945772373007,2816.576968498839,2753.3418,7.988744719169786,7.9436325635528116,7.9209337,8.006700845440367
Hogar_809,1499.9999999999995,1862.3177845054952,1701.0409358119118,1699.0082,7.530113932815894,7.439583360437452,7.4383883,7.313886831633462
Hogar_810,1499.9999999999995,1753.7379013158072,1875.4407747339912,1597.8416,7.470074780767447,7.5371320565177085,7.3770347,7.313886831633462
Hogar_811,3499.9999999999977,4821.886770530045,4036.6592901461786,3572.0889,8.481127942814334,8.30342041942046,8.181186,8.160803920954665
Hogar_812,6000.000000000005,2795.1300414188763,2723.1373001979227,2806.5535,7.9359916120786185,7.909907069889743,7.9400687,8.699681400989514
Hogar_813,2500.0000000000005,2834.6846905968587,2690.480887371135,2750.644,7.950038700440222,7.897846836869031,7.919954,7.824445930877619
Hogar_814,1200.0,1218.3348689765587,1261.5189012979351,1118.3319,7.106060799694067,7.140864132362543,7.0204873,7.0909098220799835
Hogar_815,2000.0,2276.199534215066,2063.924088377289,1673.3728,7.730701692534075,7.632848743643055,7.423194,7.601402334583733
Hogar_816,4000.0000000000014,2546.413474116099,2706.5960930959873,2524.9573,7.842833799501841,7.903816469693534,7.8343754,8.294299608857235
Hogar_817,2600.0,4149.868029211237,4096.51073129967,4224.61,8.331072755018432,8.318134929601662,8.348919,7.8636512654486515
Hogar_818,2999.9999999999995,3551.642908913782,2754.7269543524317,3936.083,8.175447086864827,7.921436554058727,8.278195,8.006700845440367
Hogar_819,800.0000000000003,1270.0845190759394,1326.9581244152932,1512.1892,7.147625767071347,7.1913977967194,7.3219748,6.68586094706836
Hogar_820,2000.0,2753.210741343759,3559.213880089641,3130.4534,7.920886198272262,8.17757590071829,8.0492525,7.601402334583733
Hogar_821,2000.0,2428.3927440231596,1639.5243842366592,1706.8903,7.795396605525545,7.402771216195998,7.443014,7.601402334583733
Hogar_822,2999.9999999999995,2275.23746363386,2111.6880344391498,2093.0422,7.73027912356212,7.655716365655536,7.6468515,8.006700845440367
Hogar_823,1399.9999999999995,1445.0089614182932,1192.3421948261512,1166.2798,7.276562600084218,7.084513216531035,7.0624313,7.244941546337007
Hogar_824,2500.0000000000005,1275.441484187973,1390.8164853739713,1294.3501,7.151831394806666,7.23836499698349,7.1665363,7.824445930877619
Hogar_825,2000.0,2073.8943600999455,2228.9804835980376,2444.207,7.637665520573593,7.709748112666109,7.801885,7.601402334583733
Hogar_826,1499.9999999999995,2366.7900873301933,2636.5284494705547,2279.6655,7.769712346521519,7.877597564255268,7.7322226,7.313886831633462
Hogar_827,1499.9999999999995,1642.1533478502843,1129.3924192772652,1162.7329,7.40437244773565,7.030320125117528,7.059388,7.313886831633462
Hogar_828,2500.0000000000005,1844.443327105383,2318.6182614977474,1731.2166,7.520474813304618,7.749157908663893,7.457157,7.824445930877619
Hogar_829,5000.000000000003,6809.678871627731,7591.4718751497885,8138.3228,8.826247081638783,8.934912492619304,9.004462,8.517393171418904
Hogar_830,499.9999999999999,662.7803297430794,996.6046791006911,844.3501,6.497951266040365,6.905357084712376,6.739751,6.2166061010848646
Hogar_831,4800.000000000003,3319.872678474955,3185.278152594167,3392.5796,8.107982882332557,8.066608791302658,8.129641,8.476579508530941
Hogar_832,5000.000000000003,3230.7593875917128,3066.0011392292718,3319.4666,8.080781969961173,8.028455535561614,8.107861,8.517393171418904
Hogar_833,1200.0,2053.497569425383,1687.1320608883877,1513.3694,7.627786605273547,7.431377907219147,7.3227544,7.0909098220799835
Hogar_834,2000.0,2650.992607144863,2367.1858718412973,2404.4653,7.883066563649101,7.769879486099692,7.7854986,7.601402334583733
Hogar_835,1499.9999999999995,1189.4048105026623,1283.2806939555721,1201.7166,7.082048705151528,7.157954069358108,7.092338,7.313886831633462
Hogar_836,999.9999999999999,1255.1795822832064,1272.729758574065,1224.4998,7.135830316332392,7.149704693202868,7.111104,6.90875477931522
Hogar_837,1800.0,1248.2682151535341,1544.1938218946827,1492.2633,7.130313230989365,7.342904632528039,7.308719,7.496097345175956
Hogar_838,1299.9999999999995,2325.396996359378,2511.828712182416,2333.1233,7.75207599622737,7.829164374529109,7.7553916,7.170888478512505
Hogar_839,1299.9999999999995,2233.7774037301997,1682.2745559697423,1756.7249,7.71189690644125,7.428496315745977,7.4717755,7.170888478512505
Hogar_840,999.9999999999999,1450.6067717766985,1168.4948942652459,1177.314,7.280426340371227,7.064327220273144,7.07184,6.90875477931522
Hogar_841,4499.999999999999,4395.865102866988,4065.816322167579,4951.0737,8.388647089353125,8.310615741909126,8.507562,8.412054873292933
Hogar_842,1499.9999999999995,2157.1654321170645,2243.9557937786567,2641.2837,7.677013802804355,7.716441109015294,7.879399,7.313886831633462
Hogar_843,2500.0000000000005,1781.2498715890122,1975.4848271063256,2003.3575,7.485631817947805,7.58907520605983,7.603079,7.824445930877619
Hogar_844,1350.0000000000002,1803.8190599559268,1746.524840843488,1873.7803,7.498215621950506,7.4659556890818894,7.536247,7.208600337960199
Hogar_845,1499.9999999999995,1481.6141471888402,2296.086726700159,2065.6587,7.301562124325239,7.739396958484898,7.6336884,7.313886831633462
Hogar_846,2700.0000000000005,1938.207461240397,2280.595309213176,2211.3296,7.570034643454432,7.732630174297972,7.7018013,7.901377353792616
Hogar_847,10000.00000000001,5526.642735436325,6315.310562194566,7973.285,8.617516735181795,8.750890544875142,8.983977,9.210440366976517
Hogar_848,999.9999999999999,3972.9172087460115,3821.33411728563,3908.6646,8.287507589665259,8.24861654046801,8.271207,6.90875477931522
Hogar_849,3800.000000000003,3613.627662788993,3070.796832775755,3739.9421,8.192744131442854,8.030017956916394,8.227093,8.24301946898925
Hogar_850,6500.000000000003,13741.721352416442,6450.404079350171,9603.781,9.52826460674837,8.772053072820459,9.170016,8.77971129020447
Hogar_851,2000.0,2481.7167035638236,2571.5091734740167,2380.7832,7.817108684582401,7.852637033678141,7.7756047,7.601402334583733
Hogar_852,2200.0,2718.3491594891148,2250.4303382821736,2123.4277,7.908147851058522,7.71932099912625,7.6612577,7.696667081526462
Hogar_853,2999.9999999999995,1680.5582819186052,2360.947788657785,2371.5994,7.427476191250847,7.767241891795715,7.7717414,8.006700845440367
Hogar_854,2500.0000000000005,2667.867259232512,2462.5776022749938,2630.395,7.889409413897413,7.809369882309876,7.8752694,7.824445930877619
Hogar_855,1700.0,2487.3748661886993,2524.238620846557,2769.9902,7.819385112199524,7.834090840549871,7.92696,7.438971592395862
Hogar_856,1299.9999999999995,1361.7710638599206,966.4054060132967,943.34406,7.217275452702513,6.874617648561502,6.8504906,7.170888478512505
Hogar_857,2000.0,1417.4880701558586,1800.5746407705662,1611.3015,7.257346844030853,7.496416361897462,7.385418,7.601402334583733
Hogar_858,9000.0,4273.45560887907,6081.841806173934,6136.588,8.360412030309794,8.713227268093007,8.722187,9.105090961257085
Hogar_859,3800.000000000003,3794.1275421135033,4505.6926925864755,4736.9995,8.241473297200043,8.413318835894376,8.46337,8.24301946898925
Hogar_860,2500.0000000000005,2056.303938691176,2232.553050350555,2024.2407,7.62915163697365,7.711348892625859,7.613444,7.824445930877619
Hogar_861,1200.0,2155.8013948201988,2026.3727567606063,2132.371,7.676381567425957,7.614496025332419,7.6654587,7.0909098220799835
Hogar_862,4000.0000000000014,3245.832822079154,3656.5059818042405,3102.4062,8.085435283890734,8.204536768382823,8.040256,8.294299608857235
Hogar_863,2999.9999999999995,2291.243033174284,2217.170426124504,2314.9678,7.737286107629627,7.704438002706191,7.747583,8.006700845440367
Hogar_864,2999.9999999999995,2078.9258558188053,2091.3303715334537,2042.961,7.640087525819062,7.646033734099649,7.622645,8.006700845440367
Hogar_865,2200.0,1510.9354607751536,1649.705684636759,1491.1942,7.321145871155944,7.40895816312097,7.308003,7.696667081526462
